movie_title,genre,director,lead_actor,production_company,country_of_origin,language,rating,box_office_sales,budget,release_date,digital_release_date
Anna: 6-18 (Anna: Ot shesti do vosemnadtsati),Documentary,Kiley Semble,Vally Leppo,Devpoint,Netherlands,Sango,0.1,315784.82,15779.03,8/24/2006,9/20/2024
Stone of Destiny,Adventure|Comedy|Crime|Drama,Dall Threlfall,Madlen Paice,Gigashots,Benin,Sardinian,9.8,2974615.17,55148.42,3/31/2023,11/11/2024
"Snows of Kilimanjaro, The (Neiges du Kilimandjaro, Les)",Drama,Livy Tetla,Marillin Whitrod,Youtags,Finland,Komi,3.6,983246.09,99357.04,3/29/2010,3/13/2021
"Curse of Frankenstein, The",Horror,Gabriela Sands-Allan,Kandace Comben,Flashpoint,France,Chuvash,8.1,4672517.84,29545.22,5/9/2000,4/21/2022
Any Day Now,Drama,Manon Lakin,Noll Busfield,Lazz,France,Esperanto,10.0,4855596.98,50314.4,12/6/2016,6/19/2023
Zero Kelvin (Kjærlighetens kjøtere),Drama,Roley Bratchell,Chiquia Eaden,Tanoodle,Argentina,Somali,6.9,2071129.49,33372.8,10/22/2008,4/2/2022
"Honeymooners, The",Comedy,Lenette Cossum,Manolo Bellefant,Oba,Russia,Walloon,4.0,8291290.23,47377.34,12/19/2009,6/23/2023
"Last September, The",Drama,Charita Goodall,Gusti Tantum,Oyoba,United States,Fijian,8.2,3216759.09,40737.78,6/22/2021,4/30/2024
"Border, The",Drama,Ilario Simmgen,Camille Shawdforth,Ailane,Russia,Slovenian,2.7,1332383.15,66005.26,7/12/2015,7/27/2023
Koyaanisqatsi (a.k.a. Koyaanisqatsi: Life Out of Balance),Documentary,Serena Scarisbrick,Freemon Growcock,Wordware,Poland,Cornish,5.9,1241007.54,45909.69,11/18/2016,8/6/2025
Pilgrimage,Drama,Toinette Tebbe,Francis Roalfe,Geba,China,"Ndebele, North",4.9,3486978.07,97103.25,11/14/2014,2/5/2020
Alice in Wonderland,Adventure|Comedy|Fantasy,Sabrina Dureden,Carly Christensen,Skaboo,Ireland,Tahitian,0.1,3827045.64,26291.99,5/30/2015,7/22/2020
Steamboat Willie,Animation|Children|Comedy|Musical,Merrick Freezer,El Swaite,Gevee,China,Oromo,9.4,5796638.53,69710.08,5/17/2010,4/18/2020
Rally On! (Ralliraita),Comedy,Ryon Ferrolli,Candi Menzies,Oozz,Russia,Kannada,0.7,4574830.07,85708.54,12/19/2025,7/28/2020
For Love or Money,Comedy|Romance,Giulietta Colby,Liane McGahey,Kayveo,Russia,Maltese,3.5,349974.01,26534.22,7/7/2019,12/19/2024
Kids in the Hall: Brain Candy,Comedy,Cassandry Wyon,Rania Hort,Blogspan,Burkina Faso,Kanuri,4.8,4600557.42,36090.75,3/23/2025,1/28/2022
Halloween is Grinch Night,Animation|Children,Anissa MacGiffin,Kitty Martine,Feedspan,Portugal,Estonian,0.5,5454406.28,52325.16,2/22/2000,4/26/2026
Powder Room,Comedy,Eli Hingeley,Wallie Felix,Yodoo,Indonesia,Luxembourgish,3.7,6514777.2,91896.2,9/28/2022,6/9/2021
35 and Ticking,Romance,Cindy Ell,Krispin Dible,Edgepulse,Malaysia,Abkhazian,9.5,9127745.74,33638.45,10/10/2009,2/2/2021
The Feminine Touch,(no genres listed),Nicoli Snibson,Jae Aubri,Realcube,Indonesia,Slovenian,6.7,2171929.05,80357.41,6/26/2006,10/25/2022
