movie_title,genre,director,lead_actor,production_company,country_of_origin,language,rating,box_office_sales,budget,release_date,digital_release_date
"Chronicles of Narnia: Prince Caspian, The",Horror,Freddi Goodfield,Julius Dannett,Eimbee,Indonesia,Pushto,7.6,2845638.99,400383.88,9/26/2020,5/2/2022
Princess Mononoke (Mononoke-hime),Drama,Magdalen Kliche,Drud Sharphouse,Wikido,Cuba,Corsican,9.8,9277994.88,925544.65,12/16/2015,3/8/2017
"Killing of John Lennon, The",Drama,Leshia Brettell,Denna Balogun,Zoombeat,Hungary,Fijian,1.2,2115020.11,625884.38,10/26/2024,2/21/2018
Today's Special,Comedy,Talbert Keppin,Donovan Brisker,Fatz,China,Belarusian,9.4,4438036.23,757943.92,1/10/2024,12/4/2022
"Lost World, The",Action,Oriana Sherebrooke,Sonnie Marushak,Jaxbean,China,Cornish,4.3,8134025.73,32235.53,5/27/2022,11/14/2020
Toomorrow,Action,Duke Scane,Mallory Bierton,Plajo,Russia,Afrikaans,0.1,9982713.35,375120.28,2/13/2022,2/22/2019
G,Romance,Cad Dairton,Dinnie Simmonett,Oba,Palestinian Territory,Western Frisian,4.3,6078725.33,626471.71,12/17/2016,11/13/2019
Lovesick,Romance,Rodrique Ducker,Sisile Molloy,Blognation,Argentina,Yoruba,0.7,2057630.36,407819.01,8/31/2016,1/17/2019
Overlord,Action,Lisa Geratasch,Josias Hasted,Divanoodle,Canada,Sindhi,2.3,2911297.22,486940.15,4/2/2019,3/1/2021
"Shaft, The (a.k.a. Down)",Adventure,Hoebart Rambaut,Hamil Iannetti,Brainverse,Morocco,Fulah,4.9,2063394.19,624860.56,11/4/2018,5/13/2022
"Statement, The",Romance,Henrieta Minci,Debor Wehden,Wordware,Philippines,Guarani,2.7,8225416.82,779622.48,3/16/2025,2/7/2018
Up the Yangtze,Romance,Blondell Cawcutt,Dorene Meeus,Topicware,United Kingdom,Czech,9.6,4388801.77,129139.67,12/16/2021,11/5/2022
Home for the Holidays,Adventure,Cate Sokill,Torre McQuaker,Gabvine,Colombia,Faroese,8.5,2126874.12,919041.08,8/5/2015,8/30/2015
Let Him Have It,Fantasy,Willa Harbinson,Davida Noot,Jaxworks,Portugal,Herero,1.9,2415619.53,91028.09,4/14/2021,10/27/2015
Tora-san's Rise and Fall (Otoko wa tsurai yo: Torajiro aiaigasa),Drama,Dieter Archley,Curt Stoyles,Brightdog,Peru,Tsonga,8.5,2150001.8,634234.03,12/31/2016,12/6/2023
Blindman,Comedy,Karlene Zealey,Bev Deave,Yakijo,China,Azerbaijani,1.7,4703697.96,383695.68,7/16/2023,1/9/2022
Caged,Adventure,Taite Chopin,Kikelia Bantham,Twinder,Argentina,"Ndebele, South",3.0,7586695.72,363280.33,3/11/2022,10/17/2020
"Loser Takes All, The (O hamenos ta pairnei ola)",Romance,Farrel Lesek,Lucretia Riddington,Flashspan,Sweden,Hiri Motu,5.2,4338948.9,942937.73,4/22/2022,11/10/2021
"Fatal Hour, The",Horror,Tamera Harses,Kelcie Vaudin,Janyx,Brazil,Western Frisian,7.7,418851.15,333547.24,6/9/2025,9/28/2016
"Great Flamarion, The",Fantasy,Massimiliano Heyward,Heall Rattery,Realcube,China,Icelandic,6.8,4308543.55,550093.41,10/8/2021,2/18/2024
Where the Boys Are '84,Romance,Verge Sheaf,Derril Boag,Fanoodle,Albania,Herero,4.5,2904295.38,999236.83,3/2/2022,2/5/2024
High School High,Drama,Tania Shard,Dalila Duhig,Skinte,Japan,Corsican,5.2,8816752.62,852848.0,11/24/2020,2/2/2018
"League of Ordinary Gentlemen, A",Crime,Barney Grealish,Jacqui Bergstram,Skajo,Germany,Panjabi,7.5,8101055.28,162836.94,7/27/2021,10/29/2015
"Boondock Saints II: All Saints Day, The",Romance,Rheba Farfolomeev,Bennie Edlington,Oozz,Russia,Occitan (post 1500),3.4,8359206.42,311507.14,6/2/2016,9/21/2023
Southern Comfort,Action,Bobby Filpo,Coleen Antognetti,Fiveclub,United States,Central Khmer,9.7,9428219.0,280889.57,7/25/2024,11/18/2016
"That's Entertainment, Part II",Adventure,Bruno Derx,Shana Tebb,Tazzy,Slovenia,Central Khmer,8.4,4132720.28,540723.24,3/27/2016,8/7/2017
Greetings,Fantasy,Crysta Dilrew,Randolf Lakenden,Edgetag,China,Walloon,4.9,3681282.23,17062.18,11/18/2023,12/30/2025
Hoop Realities,Fantasy,Shir Canti,Ulrika Sakins,Rhycero,Indonesia,Tamil,6.8,2177038.23,845964.0,9/12/2022,7/3/2019
"A-Team, The",Crime,Davy Faustian,Ced Izkovitz,Thoughtstorm,Sweden,Mongolian,0.2,2857624.5,387018.57,8/3/2018,12/30/2023
Mr. Toad's Wild Ride (a.k.a. The Wind in the Willows),Comedy,Krispin McCorkindale,Lyn Lebel,Rhybox,Czech Republic,Sindhi,7.6,7106860.3,392323.44,10/1/2021,5/24/2018
The New Girlfriend,Adventure,Moreen McShirrie,Ike Mattheis,Livetube,Germany,Faroese,9.8,1727838.57,342866.34,2/22/2023,6/15/2025
Will Success Spoil Rock Hunter?,Romance,Reg Eskriett,Jacquette Petrishchev,Jayo,Finland,Basque,7.5,4474846.2,83387.82,4/24/2018,10/22/2019
"Myth of Fingerprints, The",Fantasy,Faun Dundredge,Cos Pash,Browsedrive,Russia,Sichuan Yi,6.0,8713990.48,697555.35,9/12/2025,10/2/2021
"Crossing Guard, The",Thriller,Roddie Pays,Pavla Draysey,Riffwire,Madagascar,Pali,2.5,8996699.21,780932.4,2/20/2016,12/19/2018
Born in Flames,Thriller,Izak Djekic,Lu Finlator,Jabbercube,Indonesia,Indonesian,4.6,5376528.31,161153.2,11/20/2022,1/23/2024
Black Water,Comedy,Keri Mathely,Roth Dykas,Brightdog,Indonesia,Basque,8.4,8366784.66,267990.36,9/10/2018,9/24/2025
"Light Bulb Conspiracy, The",Fantasy,Krispin Behnecken,Matteo Ashington,Gigazoom,Ukraine,Marathi,2.0,3644245.94,295787.44,10/1/2019,8/12/2015
Go Now,Adventure,Ivan De Gregoli,Kassandra Bonny,Tanoodle,Indonesia,Indonesian,1.2,2636212.99,415795.23,9/10/2021,9/8/2024
"Wild Wild West Revisited, The",Action,Tasia Krysztowczyk,Charmain Benezeit,Riffpedia,China,Turkish,6.3,9487004.25,705154.1,4/11/2019,12/4/2016
Down to You,Action,Rocky Canedo,Ephrem Ellingsworth,Trudeo,Indonesia,Mongolian,4.6,7686359.84,101005.47,10/11/2022,6/11/2021
Ed,Crime,Clair Fretter,Valeria Ogilvie,Yamia,China,Oromo,1.7,1400115.57,782797.93,6/28/2024,10/22/2022
The Referee,Fantasy,Stinky Vaughten,Lloyd Leacock,Bluejam,China,German,1.3,5093262.92,430960.56,10/5/2016,3/26/2015
25 Watts,Sci-Fi,Hymie Burdess,Jasen Picknett,Gevee,Indonesia,Uighur,0.8,9080182.2,227383.18,9/4/2020,10/15/2025
