movie_title,genre,release_date,director,lead_actor,box_office_sales,rating,production_company,country_of_origin,language,budget,sequel
Mona Lisa Smile,Drama,4/2/2004,Booth Wildor,Wilbert Ginnane,1901531.38,9.8,Avaveo,Japan,Indonesian,287049.25,TRUE
"Trouble at Timpetill (Enfants de Timpelbach, Les)",Horror,10/22/2005,Hal Hilary,Jed Dake,8377124.7,0.2,Shuffledrive,Indonesia,Persian,324902.81,FALSE
"King and I, The",Action,4/6/2020,Bari Pugsley,Dix Farloe,4562136.07,9.4,Thoughtbridge,Nigeria,Samoan,537769.75,FALSE
Amistad,Drama,5/24/2002,Donnell Berrow,Laurena Chiommienti,3341234.64,4,Flipbug,Russia,Georgian,396283.29,TRUE
Wallace & Gromit in The Curse of the Were-Rabbit,Drama,8/24/2003,Lucilia Blackah,Budd Dredge,1587568.68,7.4,Meezzy,Mexico,Catalan,578064.05,TRUE
Lady on a Train,Drama,6/30/2000,Maryl Gapper,Noel Guilleton,7720741.44,3.5,Twitterbeat,China,Church Slavic,639404.23,FALSE
Hit and Run (Hit & Run),Sci-Fi,4/19/2001,Sonnie Kinver,Giustina Howick,5818610.1,7.3,Photofeed,Indonesia,Occitan (post 1500),492573.91,FALSE
Body of Water (Syvälle salattu),Action,12/13/2021,Marena McGettrick,Jocelyne Sallery,3441155.81,1.1,Wikido,Russia,Ossetian,992559.7,FALSE
Best Worst Movie,Drama,4/20/2004,Kristian Inman,Banky Seywood,5208801.8,2.9,Thoughtmix,Serbia,Swahili,277018.55,TRUE
"Polar Bear King, The (Kvitebjørn Kong Valemon)",Sci-Fi,8/9/2002,Albrecht Ligoe,Camala Itzhak,5775898.36,9.3,Gigaclub,Peru,Tatar,185765.2,TRUE
Soldier's Girl,Action,10/20/2006,Lonna Colpus,Vin Slorance,5017578.67,3.9,Yakijo,Paraguay,Luba-Katanga,57247.53,FALSE
Last Dance,Comedy,6/17/2017,Flemming Bredgeland,Winn Wye,6951154.33,0.2,Trudoo,Czech Republic,Kinyarwanda,743342.77,FALSE
The Underneath,Sci-Fi,3/26/2009,Raviv Moncreiff,Silvan De Cristoforo,7780743.98,4.4,Jayo,Ukraine,Swati,231260.61,TRUE
Bullet,Action,4/3/2010,Colver Beaton,Kristian Prescot,6328030.02,7.8,Wikibox,Brazil,Lingala,665662.39,FALSE
Colourful (Karafuru),Drama,10/29/2018,Fedora Bartosch,Cheryl Mammatt,5258063.21,2.6,Snaptags,China,Komi,644149.5,FALSE
"Closet, The (Placard, Le)",Drama,6/23/2021,Krystyna Clac,Raddy McLevie,6142618.51,4.7,Meejo,Poland,Oriya,28480.66,TRUE
"People Under the Stairs, The",Comedy,11/7/2008,Rolf Cumbers,Liliane McMychem,377326.34,0.7,Riffpedia,Brazil,Tswana,372885.82,FALSE
"Strange Case of the End of Civilization as We Know It, The",Comedy,2/22/2013,Barth Fladgate,Kathryn McLarty,5185577.79,6.8,Abatz,Czech Republic,Kazakh,839440.86,TRUE
"New Rulers of the World, The",Comedy,4/30/2006,Oliver Emblin,Tabbitha Ranfield,9241309.69,6.6,Skaboo,United States,Norwegian,123204.07,TRUE
Just Pals,Comedy,1/21/2010,Franklyn Klainer,Isidora Emmanuele,3523506.34,9.7,Meevee,Brazil,Czech,770599.27,TRUE
Catch a Fire,Comedy,9/12/2009,Carlie Arr,Axe Fransseni,6005883.13,0.7,Thoughtworks,Indonesia,Arabic,427408.07,TRUE
Mahler,Drama,4/26/2010,Aprilette Denerley,Shirlene McVaugh,8519150.82,0.1,Gevee,Ecuador,Bosnian,197497.4,TRUE
Dororo,Action,5/11/2010,Angelina Gainforth,Ev Danilchik,7726401.12,6.1,Skajo,Portugal,German,371278.85,TRUE
Asylum,Action,2/4/2008,Damita Milmith,Nickolai Richold,1519127.15,0.6,Cogidoo,Czech Republic,"Greek, Modern (1453-)",100186.56,FALSE
"Philadelphia Experiment, The",Drama,5/5/2010,Ondrea Meiner,Lynna Rebbeck,1725310.22,5.3,Thoughtworks,Peru,Church Slavic,651923.12,FALSE
The Last of the Finest,Horror,2/19/2022,Odie Mackriell,Ingrid Sherrum,7482978.87,7.2,Flashset,China,Swati,620431.58,TRUE
Bullet,Comedy,8/16/2013,Enoch Swate,Elberta Chittie,5921740.32,6.9,Lazzy,Egypt,Luba-Katanga,747666.76,FALSE
Mall Girls (Galerianki),Drama,9/8/2003,Ernesta Kremer,Blisse Fortune,8583731.18,5.2,Twitterwire,Nigeria,Ganda,522714.52,TRUE
The Mark of Cain,Drama,2/11/2022,Cindi Goodboddy,Thea Constantine,520726.54,6.9,Fanoodle,Palestinian Territory,Chamorro,837583.08,TRUE
Jazz,Action,4/21/2001,Chico O'Sharry,Paulie Westhead,9564173.26,2.3,Plambee,Indonesia,Pushto,983356.58,FALSE
Shogun Assassin,Drama,6/26/2015,Yoshi Habron,Saundra Gilson,2099095.78,1,Quimm,Jamaica,Danish,505201.84,TRUE
"Bound by Honor (a.k.a. Blood In, Blood Out)",Action,9/27/2012,Eula Saladino,Celene O'Keenan,1192364.48,2.7,Thoughtbridge,Canada,Inuktitut,550704.61,TRUE
High Risk,Sci-Fi,12/2/2005,Berkie Lathee,Janeva Blankett,3965328.83,6.3,Reallinks,France,Chechen,755639.88,FALSE
Brother Bear,Drama,4/24/2005,Scotty Cockshutt,Cassandre Osburn,940867.58,6,Edgepulse,Poland,Lithuanian,167877.28,FALSE
Let's Not Keep in Touch!,Action,8/1/2008,Marie-ann Gelder,Adda Taks,3776714.83,6.7,Zoonder,Sri Lanka,Kalaallisut,295925.72,FALSE
Once in the Life,Drama,11/17/2003,Cesaro Willsmore,Zena Rembrant,4481267.57,2,Kanoodle,United States,Sindhi,618655.72,TRUE
Death Watch (La Mort en Direct),Drama,10/7/2010,Merwyn Stiegars,Ilka Rosie,1751631.44,6.1,Browsedrive,Papua New Guinea,Swati,958130.65,TRUE
That Old Feeling,Drama,3/28/2015,Alyss Wibberley,Dodi Lawes,7086950.42,7.9,Mita,Portugal,Herero,151094.35,TRUE
"Scenic Route, The",Action,8/31/2010,Catherin Fraczak,Elsy Woolfitt,6991462.37,0.7,Yodo,Libya,German,663741.34,FALSE
Can Mr. Smith Get to Washington Anymore?,Drama,12/12/2007,Tisha Haining,Francene Lezemere,109495.85,2.6,Yakitri,Thailand,Aymara,947402.8,TRUE
"Elephant in the Living Room, The",Comedy,3/31/2019,Andrea Sharpus,Krisha Ricioppo,1798640.7,1.6,Gabtype,China,Spanish,128070.05,FALSE
Mind Game,Comedy,3/19/2011,Angelina Bangiard,Filippa Trubshaw,2312457.71,2.8,Skynoodle,China,Ewe,94081.61,FALSE
Public Enemies,Horror,7/7/2015,Kevina Starkie,Chloe Beddin,7608108.65,7,Yabox,Guatemala,Yoruba,412461.99,TRUE
Danika,Action,12/23/2018,Ariel Heinreich,Flint Lancley,1426294.09,6,Wordtune,China,Estonian,937276.75,TRUE
White House Down,Sci-Fi,7/27/2019,Abra Edmund,Doll Aymeric,1399838.13,1.1,Devbug,Israel,Uzbek,693463.74,TRUE
Taking Chance,Horror,4/26/2016,Romain Anyon,Mavra Ivanyushin,7654174.6,6.1,Youbridge,Indonesia,Romanian,44371.57,FALSE
Hell and High Water,Comedy,9/5/2017,Meriel Pariss,Udell Pyatt,8859829.01,0.5,Edgetag,China,Norwegian,102931.15,FALSE
"Apple, The",Comedy,9/13/2022,Margaux Cornelleau,Abraham Cargill,4467579.83,3.4,Latz,Brazil,Persian,321673.28,TRUE
"Trip to Mars, A",Drama,7/18/2014,Chet Whisson,Collie Everiss,1628313.76,7.9,Oyope,Philippines,Norwegian Nynorsk,326603.02,TRUE
Rush Hour 3,Comedy,9/22/2010,Candi Hencke,Packston Grahlmans,129761.41,5.4,Rhynyx,Mexico,Persian,588683.73,FALSE
Phaedra,Comedy,8/16/2002,Edwina Adamsson,Magdalena Mimmack,1160850.1,1.2,Bluejam,Portugal,Estonian,457843.66,TRUE
Red Psalm (Még kér a nép),Action,8/18/2005,Daria Santos,Anestassia Malenoir,6551262.34,7.6,Fanoodle,Poland,Tonga (Tonga Islands),234219.01,FALSE
Naked,Drama,4/8/2021,Adrian Pawelke,Jenilee Uc,501386,3.5,Bluejam,Zimbabwe,Chamorro,917335.1,FALSE
Crisis (Kris),Comedy,11/13/2000,Herminia Sharman,Hussein Melbourn,9988569.52,1.8,Skipstorm,Thailand,Galician,799310.38,FALSE
